population_group,location,population
fdmn,Camp 1E,37782
fdmn,Camp 1W,37996
fdmn,Camp 2E,25657
fdmn,Camp 2W,23586
fdmn,Camp 3,35598
fdmn,Camp 4,29859
fdmn,Camp 4 Extension,6836
fdmn,Camp 5,24437
fdmn,Camp 6,22727
fdmn,Camp 7,36647
fdmn,Camp 8E,29242
fdmn,Camp 8W,30673
fdmn,Camp 9,32843
fdmn,Camp 10,29767
fdmn,Camp 11,29671
fdmn,Camp 12,25659
fdmn,Camp 13,41586
fdmn,Camp 17,16336
fdmn,Camp 18,27047
fdmn,Camp 19,23041
fdmn,Camp 20,6776
fdmn,Camp 20 Extension,7624
fdmn,Kutupalong RC,16713
fdmn,Camp 14,31923
fdmn,Camp 15,49596
fdmn,Camp 16,20857
fdmn,Camp 21,16468
fdmn,Camp 22,21206
fdmn,Nayapara RC,22585
fdmn,Camp 23,10494
fdmn,Camp 24,26076
fdmn,Camp 25,7394
fdmn,Camp 26,40627
fdmn,Camp 27,14914
